# code,annotations_organism,cog_taxid,no rank,superkingdom,phylum,class,order,family,genus,species,taxid,clade,strain,subspecies,species group,subphylum,suborder,subclass,isolate,subfamily,forma specialis,serotype,serogroup,tribe
Dicnod,Dichelobacter nodosus VCS1703A,246195,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Dichelobacter,Dichelobacter nodosus,246195,,Dichelobacter nodosus VCS1703A,,,,,,,,,,,
Dicthe,Dictyoglomus thermophilum H-6-12,309799,cellular organisms,Bacteria,Dictyoglomi,Dictyoglomia,Dictyoglomales,Dictyoglomaceae,Dictyoglomus,Dictyoglomus thermophilum,309799,,Dictyoglomus thermophilum H-6-12,,,,,,,,,,,
Dinshi,Dinoroseobacter shibae DFL 12 = DSM 16493,398580,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Dinoroseobacter,Dinoroseobacter shibae,398580,,Dinoroseobacter shibae DFL 12 = DSM 16493,,,,,,,,,,,
Divr01,candidate division WWE3 bacterium RAAC2_WWE3_1,1394710,Bacteria incertae sedis,Bacteria,candidate division WWE3,,,,,candidate division WWE3 bacterium RAAC2_WWE3_1,1394710,Bacteria candidate phyla,,,,,,,,,,,,
Divraa,candidate division SR1 bacterium RAAC1_SR1_1,1394709,unclassified Candidatus Absconditabacteria,Bacteria,Candidatus Absconditabacteria,,,,,candidate division SR1 bacterium RAAC1_SR1_1,1394709,Bacteria candidate phyla,,,,,,,,,,,,
Dyafer,Dyadobacter fermentans DSM 18053,471854,cellular organisms,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,Dyadobacter fermentans,471854,Bacteroidetes/Chlorobi group,Dyadobacter fermentans DSM 18053,,,,,,,,,,,
Echvie,Echinicola vietnamensis DSM 17526,926556,cellular organisms,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Echinicola,Echinicola vietnamensis,926556,Bacteroidetes/Chlorobi group,Echinicola vietnamensis DSM 17526,,,,,,,,,,,
Ectm19,Spiribacter salinus M19-40,1260251,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Spiribacter,Spiribacter salinus,1260251,,Spiribacter salinus M19-40,,,,,,,,,,,
Edwict,Edwardsiella ictaluri 93-146,634503,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella,Edwardsiella ictaluri,634503,,Edwardsiella ictaluri 93-146,,,,,,,,,,,
Egglen,Eggerthella lenta DSM 2243,479437,cellular organisms,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,Eggerthella lenta,479437,Terrabacteria group,Eggerthella lenta DSM 2243,,,,,,,,,,,
Ehrcha,Ehrlichia chaffeensis str. Arkansas,205920,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,Ehrlichia chaffeensis,205920,,Ehrlichia chaffeensis str. Arkansas,,canis group,,,,,,,,,
Elumin,Elusimicrobium minutum Pei191,445932,cellular organisms,Bacteria,Elusimicrobia,Elusimicrobia,Elusimicrobiales,Elusimicrobiaceae,Elusimicrobium,Elusimicrobium minutum,445932,,Elusimicrobium minutum Pei191,,,,,,,,,,,
Emtoli,Emticicia oligotrophica DSM 17448,929562,cellular organisms,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Emticicia,Emticicia oligotrophica,929562,Bacteroidetes/Chlorobi group,Emticicia oligotrophica DSM 17448,,,,,,,,,,,
Endcub,secondary endosymbiont of Heteropsylla cubana,134287,Enterobacteriaceae incertae sedis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,secondary endosymbiont of Heteropsylla cubana,134287,aphid secondary symbionts,,,,,,,,,,,,
Endeuc,secondary endosymbiont of Ctenarytaina eucalypti,1199245,Enterobacteriaceae incertae sedis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,secondary endosymbiont of Ctenarytaina eucalypti,1199245,aphid secondary symbionts,,,,,,,,,,,,
Entclo,Enterobacter cloacae subsp. cloacae ATCC 13047,716541,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacae,716541,,Enterobacter cloacae subsp. cloacae ATCC 13047,Enterobacter cloacae subsp. cloacae,Enterobacter cloacae complex,,,,,,,,,
Entfae,Enterococcus faecalis V583,226185,cellular organisms,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,226185,Terrabacteria group,Enterococcus faecalis V583,,,,,,,,,,,
Erwamy,Erwinia amylovora ATCC 49946,716540,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Erwinia amylovora,716540,,Erwinia amylovora ATCC 49946,,,,,,,,,,,
Erylit,Erythrobacter litoralis HTCC2594,314225,Erythrobacter/Porphyrobacter group,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Erythrobacter litoralis,314225,,Erythrobacter litoralis HTCC2594,,,,,,,,,,,
Eryrhu,Erysipelothrix rhusiopathiae SY1027,1313290,cellular organisms,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,Erysipelothrix rhusiopathiae,1313290,Terrabacteria group,Erysipelothrix rhusiopathiae SY1027,,,,,,,,,,,
Escc01,Escherichia coli O157:H7 str. Sakai,386585,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,386585,,Escherichia coli O157:H7 str. Sakai,,,,,,,,,Escherichia coli O157:H7,,
Esccol,Escherichia coli str. K-12 substr. MG1655,511145,Escherichia coli str. K-12 substr. MG1655,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,511145,,Escherichia coli K-12,,,,,,,,,,,
Ethhar,Ethanoligenens harbinense YUAN-3,663278,cellular organisms,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ethanoligenens,Ethanoligenens harbinense,663278,Terrabacteria group,Ethanoligenens harbinense YUAN-3,,,,,,,,,,,
Eublim,Eubacterium limosum,903814,cellular organisms,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium limosum,903814,Terrabacteria group,Eubacterium limosum KIST612,,,,,,,,,,,
Eximh3,Exiguobacterium sp. MH3,1399115,unclassified Exiguobacterium,Bacteria,Firmicutes,Bacilli,Bacillales,,Exiguobacterium,Exiguobacterium sp. MH3,1399115,Terrabacteria group,,,,,,,,,,,,
Faepra,Faecalibacterium prausnitzii L2-6,718252,cellular organisms,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,718252,Terrabacteria group,Faecalibacterium prausnitzii L2-6,,,,,,,,,,,
Feraci,Ferroplasma acidarmanus fer1,333146,cellular organisms,Archaea,Candidatus Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Ferroplasma,Ferroplasma acidarmanus,333146,,Ferroplasma acidarmanus fer1,,,,,,,,,,,
Ferbal,Ferrimonas balearica DSM 9799,550540,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Ferrimonadaceae,Ferrimonas,Ferrimonas balearica,550540,,Ferrimonas balearica DSM 9799,,,,,,,,,,,
Ferfon,Fervidicoccus fontis Kam940,1163730,cellular organisms,Archaea,Crenarchaeota,Thermoprotei,Fervidicoccales,Fervidicoccaceae,Fervidicoccus,Fervidicoccus fontis,1163730,TACK group,Fervidicoccus fontis Kam940,,,,,,,,,,,
Ferpen,Fervidobacterium pennivorans DSM 9078,771875,cellular organisms,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,Fervidobacterium pennivorans,771875,,Fervidobacterium pennivorans DSM 9078,,,,,,,,,,,
Ferpla,Ferroglobus placidus DSM 10642,589924,cellular organisms,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Ferroglobus,Ferroglobus placidus,589924,,Ferroglobus placidus DSM 10642,,,,,,,,,,,
Fibaes,Fibrella aestuarina BUZ 2,1166018,cellular organisms,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Fibrella,Fibrella aestuarina,1166018,Bacteroidetes/Chlorobi group,Fibrella aestuarina BUZ 2,,,,,,,,,,,
Fibsuc,Fibrobacter succinogenes subsp. succinogenes S85,59374,cellular organisms,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,Fibrobacter succinogenes,59374,FCB group,Fibrobacter succinogenes subsp. succinogenes S85,Fibrobacter succinogenes subsp. succinogenes,,,,,,,,,,
Filalo,Filifactor alocis ATCC 35896,546269,cellular organisms,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Filifactor,Filifactor alocis,546269,Terrabacteria group,Filifactor alocis ATCC 35896,,,,,,,,,,,
Finmag,Finegoldia magna ATCC 29328,334413,cellular organisms,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Finegoldia,Finegoldia magna,334413,Terrabacteria group,Finegoldia magna ATCC 29328,,,,,,,,,,,
Flajoh,Flavobacterium johnsoniae UW101,376686,cellular organisms,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium johnsoniae,376686,Bacteroidetes/Chlorobi group,Flavobacterium johnsoniae UW101,,,,,,,,,,,
Flelit,Bernardetia litoralis DSM 6794,880071,cellular organisms,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Bernardetiaceae,Bernardetia,Bernardetia litoralis,880071,Bacteroidetes/Chlorobi group,Bernardetia litoralis DSM 6794,,,,,,,,,,,
Flesin,Flexistipes sinusarabici DSM 4947,717231,cellular organisms,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Flexistipes,Flexistipes sinusarabici,717231,,Flexistipes sinusarabici DSM 4947,,,,,,,,,,,
Flutaf,Fluviicola taffensis DSM 16823,755732,cellular organisms,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Fluviicola,Fluviicola taffensis,755732,Bacteroidetes/Chlorobi group,Fluviicola taffensis DSM 16823,,,,,,,,,,,
Fraaur,Frateuria aurantia DSM 6220,767434,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Frateuria,Frateuria aurantia,767434,,Frateuria aurantia DSM 6220,,,,,,,,,,,
Fradat,Frankia symbiont of Datisca glomerata,656024,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Frankiales,Frankiaceae,Frankia,Candidatus Frankia meridionalis,656024,Terrabacteria group,,,,,,,,,,,,
Fraean,Frankia sp. EAN1pec,298653,unclassified Frankia,Bacteria,Actinobacteria,Actinomycetia,Frankiales,Frankiaceae,Frankia,Frankia sp. EAN1pec,298653,Terrabacteria group,,,,,,,,,,,,
Fratul,Francisella tularensis subsp. tularensis SCHU S4,177416,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,177416,,Francisella tularensis subsp. tularensis SCHU S4,Francisella tularensis subsp. tularensis,,,,,,,,,,
Fusnuc,Fusobacterium nucleatum subsp. nucleatum ATCC 25586,190304,cellular organisms,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum,190304,,Fusobacterium nucleatum subsp. nucleatum ATCC 25586,Fusobacterium nucleatum subsp. nucleatum,,,,,,,,,,
Galana,Gallibacterium anatis UMN179,1005058,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Gallibacterium,Gallibacterium anatis,1005058,,Gallibacterium anatis UMN179,,,,,,,,,,,
Galcap,Gallionella capsiferriformans ES-2,395494,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Gallionella,Gallionella capsiferriformans,395494,,Gallionella capsiferriformans ES-2,,,,,,,,,,,
Garvag,Gardnerella vaginalis ATCC 14019,525284,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella vaginalis,525284,Terrabacteria group,Gardnerella vaginalis ATCC 14019,,,,,,,,,,,
Geipcc,Geitlerinema sp. PCC 7407,1173025,unclassified Geitlerinema,Bacteria,Cyanobacteria,,Oscillatoriales,Coleofasciculaceae,Geitlerinema,Geitlerinema sp. PCC 7407,1173025,Cyanobacteria/Melainabacteria group,,,,,,Oscillatoriophycideae,,,,,,
Gemaur,Gemmatimonas aurantiaca T-27,379066,cellular organisms,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas aurantiaca,379066,FCB group,Gemmatimonas aurantiaca T-27,,,,,,,,,,,
Geomet,Geobacter metallireducens GS-15,269799,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter metallireducens,269799,,Geobacter metallireducens GS-15,,,delta/epsilon subdivisions,,,,,,,,
Geoobs,Geodermatophilus obscurus DSM 43160,526225,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,Geodermatophilus obscurus,526225,Terrabacteria group,Geodermatophilus obscurus DSM 43160,,,,,,,,,,,
Geothe,Geobacillus thermoleovorans CCB_US3_UF5,1111068,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,Geobacillus thermoleovorans,1111068,Terrabacteria group,Geobacillus thermoleovorans CCB_US3_UF5,,Geobacillus thermoleovorans group,,,,,,,,,
Glapsy,Paraglaciecola psychrophila 170,1129794,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Paraglaciecola,Paraglaciecola psychrophila,1129794,,Paraglaciecola psychrophila 170,,,,,,,,,,,
Glopcc,Gloeocapsa sp. PCC 7428,1173026,unclassified Gloeocapsa,Bacteria,Cyanobacteria,,Chroococcales,Chroococcaceae,Gloeocapsa,Gloeocapsa sp. PCC 7428,1173026,Cyanobacteria/Melainabacteria group,,,,,,Oscillatoriophycideae,,,,,,
Glovio,Gloeobacter violaceus PCC 7421,251221,cellular organisms,Bacteria,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,Gloeobacter violaceus,251221,Cyanobacteria/Melainabacteria group,Gloeobacter violaceus PCC 7421,,,,,,,,,,,
Gludia,Gluconacetobacter diazotrophicus PA1 5,272568,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconacetobacter,Gluconacetobacter diazotrophicus,272568,,Gluconacetobacter diazotrophicus PA1 5,,,,,,,,,,,
Gluoxy,Gluconobacter oxydans H24,1224746,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconobacter,Gluconobacter oxydans,1224746,,Gluconobacter oxydans H24,,,,,,,,,,,
Gorktr,Gordonia sp. KTR9,337191,unclassified Gordonia,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia sp. KTR9,337191,Terrabacteria group,,,,,,,,,,,,
Gorpam,Gordonibacter pamelaeae 7-10-1-b,657308,cellular organisms,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Gordonibacter,Gordonibacter pamelaeae,657308,Terrabacteria group,Gordonibacter pamelaeae 7-10-1-b,,,,,,,,,,,
Grabet,Granulibacter bethesdensis CGDNIH1,391165,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Granulibacter,Granulibacter bethesdensis,391165,,Granulibacter bethesdensis CGDNIH1,,,,,,,,,,,
Grafor,Gramella forsetii KT0803,411154,cellular organisms,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gramella,Gramella forsetii,411154,Bacteroidetes/Chlorobi group,Gramella forsetii KT0803,,,,,,,,,,,
Gramal,Granulicella mallensis MP5ACTX8,682795,cellular organisms,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,Granulicella mallensis,682795,,Granulicella mallensis MP5ACTX8,,,,,,,,,,,
Haeinf,Haemophilus influenzae Rd KW20,71421,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,71421,,Haemophilus influenzae Rd KW20,,,,,,,,,,,
Hahche,Hahella chejuensis KCTC 2396,349521,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Hahella,Hahella chejuensis,349521,,Hahella chejuensis KCTC 2396,,,,,,,,,,,
Halbor,Halogeometricum borinquense DSM 11551,469382,cellular organisms,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogeometricum,Halogeometricum borinquense,469382,Stenosarchaea group,Halogeometricum borinquense DSM 11551,,,,,,,,,,,
Halelo,Halomonas elongata DSM 2581,768066,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas elongata,768066,,Halomonas elongata DSM 2581,,,,,,,,,,,
Halh01,Haliscomenobacter hydrossis DSM 1100,760192,cellular organisms,Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Haliscomenobacteraceae,Haliscomenobacter,Haliscomenobacter hydrossis,760192,Bacteroidetes/Chlorobi group,Haliscomenobacter hydrossis DSM 1100,,,,,,,,,,,
Halh02,Halobacteroides halobius DSM 5150,748449,cellular organisms,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Halobacteroides,Halobacteroides halobius,748449,Terrabacteria group,Halobacteroides halobius DSM 5150,,,,,,,,,,,
Halh03,Halorhodospira halophila SL1,349124,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Halorhodospira,Halorhodospira halophila,349124,,Halorhodospira halophila SL1,,,,,,,,,,,
Halh04,Candidatus Pantoea carbekii,1235990,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Candidatus Pantoea carbekii,1235990,,,,,,,,,,,,,
Halhal,Halobacillus halophilus DSM 2266,866895,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,Halobacillus halophilus,866895,Terrabacteria group,Halobacillus halophilus DSM 2266,,,,,,,,,,,
Halhyd,Halanaerobium hydrogeniformans,656519,cellular organisms,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium,Halanaerobium hydrogeniformans,656519,Terrabacteria group,,,,,,,,,,,,
Haljeo,Halalkalicoccus jeotgali B3,795797,cellular organisms,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halalkalicoccus,Halalkalicoccus jeotgali,795797,Stenosarchaea group,Halalkalicoccus jeotgali B3,,,,,,,,,,,
Hallac,Halorubrum lacusprofundi ATCC 49239,416348,cellular organisms,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum lacusprofundi,416348,Stenosarchaea group,Halorubrum lacusprofundi ATCC 49239,,,,,,,,,,,
Halmar,Haloarcula marismortui ATCC 43049,272569,cellular organisms,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula marismortui,272569,Stenosarchaea group,Haloarcula marismortui ATCC 43049,,,,,,,,,,,
Halmuk,Halomicrobium mukohataei DSM 12286,485914,cellular organisms,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,Halomicrobium mukohataei,485914,Stenosarchaea group,Halomicrobium mukohataei DSM 12286,,,,,,,,,,,
Halnea,Halothiobacillus neapolitanus c2,555778,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Halothiobacillaceae,Halothiobacillus,Halothiobacillus neapolitanus,555778,,Halothiobacillus neapolitanus c2,,,,,,,,,,,
Haloch,Haliangium ochraceum DSM 14365,502025,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Kofleriaceae,Haliangium,Haliangium ochraceum,502025,,Haliangium ochraceum DSM 14365,,,delta/epsilon subdivisions,Nannocystineae,,,,,,,
Halore,Halothermothrix orenii H 168,373903,cellular organisms,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halothermothrix,Halothermothrix orenii,373903,Terrabacteria group,Halothermothrix orenii H 168,,,,,,,,,,,
Halpcc,Halothece sp. PCC 7418,65093,unclassified Halothece,Bacteria,Cyanobacteria,,Chroococcales,Aphanothecaceae,Halothece,Halothece sp. PCC 7418,65093,Cyanobacteria/Melainabacteria group,,,,,,Oscillatoriophycideae,,,,,,
Halrub,Halovivax ruber XH-70,797302,cellular organisms,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halovivax,Halovivax ruber,797302,Stenosarchaea group,Halovivax ruber XH-70,,,,,,,,,,,
Halsal,Halobacterium salinarum NRC-1,64091,cellular organisms,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium salinarum,64091,Stenosarchaea group,Halobacterium salinarum NRC-1,,,,,,,,,,,
Haltia,Halorhabdus tiamatea SARL4B,1033806,cellular organisms,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,Halorhabdus tiamatea,1033806,Stenosarchaea group,Halorhabdus tiamatea SARL4B,,,,,,,,,,,
Haltur,Haloterrigena turkmenica DSM 5511,543526,cellular organisms,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Haloterrigena,Haloterrigena turkmenica,543526,Stenosarchaea group,Haloterrigena turkmenica DSM 5511,,,,,,,,,,,
Halvol,Haloferax volcanii DS2,309800,cellular organisms,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax volcanii,309800,Stenosarchaea group,Haloferax volcanii DS2,,,,,,,,,,,
Halwal,Haloquadratum walsbyi C23,768065,cellular organisms,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,768065,Stenosarchaea group,Haloquadratum walsbyi C23,,,,,,,,,,,
Halxan,Halopiger xanaduensis SH-6,797210,cellular organisms,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halopiger,Halopiger xanaduensis,797210,Stenosarchaea group,Halopiger xanaduensis SH-6,,,,,,,,,,,
Hamdef,Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum),572265,Enterobacteriaceae incertae sedis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Hamiltonella,Candidatus Hamiltonella defensa,572265,aphid secondary symbionts,,,,,,,,,Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum),,,
Helmod,Heliobacterium modesticaldum Ice1,498761,cellular organisms,Bacteria,Firmicutes,Clostridia,Eubacteriales,Heliobacteriaceae,Heliomicrobium,Heliomicrobium modesticaldum,498761,Terrabacteria group,Heliobacterium modesticaldum Ice1,,,,,,,,,,,
Helpyl,Helicobacter pylori 26695,85962,cellular organisms,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,85962,,Helicobacter pylori 26695,,,delta/epsilon subdivisions,,,,,,,,
Herars,Herminiimonas arsenicoxydans,204773,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herminiimonas,Herminiimonas arsenicoxydans,204773,,,,,,,,,,,,,
Heraur,Herpetosiphon aurantiacus DSM 785,316274,cellular organisms,Bacteria,Chloroflexi,Chloroflexia,Herpetosiphonales,Herpetosiphonaceae,Herpetosiphon,Herpetosiphon aurantiacus,316274,Terrabacteria group,Herpetosiphon aurantiacus DSM 785,,,,,,,,,,,
Herser,Herbaspirillum seropedicae SmR1,757424,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,Herbaspirillum seropedicae,757424,,Herbaspirillum seropedicae SmR1,,,,,,,,,,,
Hipmar,Hippea maritima DSM 10411,760142,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,Hippea,Hippea maritima,760142,,Hippea maritima DSM 10411,,,delta/epsilon subdivisions,,,,,,,,
Hirbal,Hirschia baltica ATCC 49814,582402,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,Hirschia,Hirschia baltica,582402,,Hirschia baltica ATCC 49814,,,,,,,,,,,
Hodcic,Candidatus Hodgkinia cicadicola Dsem,573234,Rhizobiales incertae sedis,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,,Candidatus Hodgkinia,Candidatus Hodgkinia cicadicola,573234,,Candidatus Hodgkinia cicadicola Dsem,,,,,,,,,,,
Hydthe,Hydrogenobacter thermophilus TK-6,608538,cellular organisms,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,Hydrogenobacter thermophilus,608538,,Hydrogenobacter thermophilus TK-6,,,,,,,,,,,
Hydy04,Hydrogenobaculum sp. Y04AAS1,380749,unclassified Hydrogenobaculum,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobaculum,Hydrogenobaculum sp. Y04AAS1,380749,,,,,,,,,,,,,
Hypbut,Hyperthermus butylicus DSM 5456,415426,cellular organisms,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus,Hyperthermus butylicus,415426,TACK group,Hyperthermus butylicus DSM 5456,,,,,,,,,,,
Hypmc1,Hyphomicrobium sp. MC1,717785,unclassified Hyphomicrobium,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Hyphomicrobium,Hyphomicrobium sp. MC1,717785,,,,,,,,,,,,,
Hypnep,Hyphomonas neptunium ATCC 15444,228405,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,Hyphomonas,Hyphomonas neptunium,228405,,Hyphomonas neptunium ATCC 15444,,,,,,,,,,,
Idiloi,Idiomarina loihiensis L2TR,283942,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,Idiomarina loihiensis,283942,,Idiomarina loihiensis L2TR,,,,,,,,,,,
Ignagg,Ignisphaera aggregans DSM 17230,583356,cellular organisms,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignisphaera,Ignisphaera aggregans,583356,TACK group,Ignisphaera aggregans DSM 17230,,,,,,,,,,,
